Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Information,,,,,,,,Chromatogram Peak Areas,,,,,,,,Chlorophylls,,,,Carotenoids,,,,,,,,,,,
"Sample
ID",Treatment,Tree Species,Month,Extraction Date,"Leaf Weight
(g)","Extraction
Volume
(ml)","HPLC 
Injection Volume
(µl)","Violaxanthin
HPLC Peak Area
(mAU*sec)","Neoxanthin
HPLC Peak Area
(mAU*sec)","Antheraxanthin
HPLC Peak Area
(mAU*sec)","Lutein
HPLC Peak Area
(mAU*sec)","Zeaxanthin
HPLC Peak Area
(mAU*sec)","Chlorophyll B
HPLC Peak Area
(mAU*sec)","Chlorophyll A
HPLC Peak Area
(mAU*sec)","Beta Carotene
HPLC Peak Area
(mAU*sec)","Chlorophyll B
Concentration
(µmol/g)","Chlorophyll A
Concentration
(µmol/g)","Chlorophyll Pool
(µmol/g)","Chlorophyll 
a/b 
Ratio","Violaxanthin
Concentration
(µmol/g)","Neoxanthin
Concentration
(µmol/g)","Antheraxanthin
Concentration
(µmol/g)","Lutein
Concentration
(µmol/g)","Zeaxanthin
Concentration
(µmol/g)","Beta Carotene
Concentration
(µmol/g)","Total Carotenoids/ChlA+ChlB
(mol/mol)","V+A+Z
(µmol/g)","V+A+Z /ChlA+ChlB
(mol/mol)",Z/V+A+Z,Z+A/V+A+Z,Notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17108 P10B1R1,L,Pine,November,180119,0.0259,0.77,40,24,47.7,16.2,481.7,181.3,431.4,719.1,190.4,0.1995953716,0.5173632973,0.7169586689,2.5920605929,0.0055671892,0.0172193777,0.0044248986,0.0814138095,0.071781325,0.075157827,0.3564562898,0.0817734128,0.114055965,0.8778076212,0.9319193244,
171108 P10B1R2,L,Pine,November,180531,0.0253,0.67,40,40.2,49,45.7,661.5,260,443.8,868.6,209,0.1829030484,0.5566593043,0.7395623528,3.0434665204,0.0083064243,0.0157564536,0.0111190539,0.0995897401,0.0916959881,0.0734880761,0.4055854587,0.1111214663,0.1502530056,0.8251869885,0.9252491478,
171109 P2B1R1,L,Pine,November,180119,0.0248,0.69,40,32.5,42.1,42.1,509.3,163.9,447,850.4,204.5,0.1935460433,0.5725798065,0.7661258498,2.9583648239,0.0070552848,0.0142228824,0.0107616003,0.0805566792,0.060729411,0.0755452273,0.3248436077,0.0785462961,0.1025240123,0.7731670878,0.9101767349,
171109 P2B1R2,L,Pine,November,180119,0.0242,0.76,40,28.1,47.4,22.3,559.8,270.4,526,995.4,227,0.2570770661,0.756504,1.0135810661,2.9427129049,0.006885545,0.0180752653,0.0064342872,0.099945119,0.1130908893,0.0946543099,0.334541979,0.1264107215,0.1247169326,0.8946305181,0.9455303715,
171109 P2B3R1,L,Pine,November,180119,0.0246,0.75,40,26.4,47,40.4,547.9,206.4,411.6,808.6,214.3,0.1952903963,0.5965890244,0.7918794207,3.0548815281,0.006280061,0.017399314,0.011316311,0.0949637652,0.0838028049,0.086749032,0.3794912208,0.1013991768,0.1280487587,0.8264643511,0.938065957,
171109 P9B1R1,L,Pine,November,180119,0.0245,0.75,40,46.7,71.4,58.5,629.3,180.9,588.2,1014.8,258.6,0.2802202806,0.7517804082,1.0320006888,2.6828194109,0.0111543903,0.0265400357,0.016453125,0.1095174643,0.0737490536,0.1051090255,0.3319020017,0.1013565689,0.098213664,0.727619871,0.8899490144,
171109 P9B1R2,L,Pine,November,180119,0.0245,0.75,40,31,53.4,23.4,482.2,222.7,537.8,932.7,205,0.2562095663,0.6909593878,0.9471689541,2.6968524152,0.0074044133,0.0198492704,0.00658125,0.0839175612,0.0907900179,0.0833230867,0.3081452345,0.1047756811,0.1106198431,0.8665180401,0.9293308029,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171108 S3B1R1D,D,Spruce,November,180604,0.0261,0.74,40,47.3,86.7,71.6,703.3,142.5,608.3,1082.3,192.7,0.2684036351,0.7425987893,1.0110024243,2.766724039,0.0104637205,0.029848219,0.018650977,0.1133606425,0.0538057615,0.0725419519,0.295420926,0.082920459,0.0820180615,0.6488840286,0.8738101474,
171108 S3B2R1D,D,Spruce,November,180119,0.0275,0.73,40,42.5,80.6,56.7,749.2,161.1,634.9,1100,215.8,0.2622858477,0.70664,0.9689258477,2.6941598494,0.0088026386,0.0259796515,0.0138283568,0.1130624531,0.0569519255,0.0760602795,0.3041360757,0.079582921,0.0821352028,0.7156299974,0.889390355,
171108 S9B1R1D,D,Spruce,November,180119,0.0265,0.72,40,32.1,57.9,43.7,628.7,174.5,468.3,857.5,171.5,0.1980113774,0.5638143396,0.761825717,2.8473835551,0.0068049577,0.0191017562,0.0109085094,0.0971092392,0.0631400264,0.0618681396,0.3398843369,0.0808534936,0.1061312211,0.7809189636,0.9158359468,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171108 S3B1R1,L,Spruce,November,180531,0.0233,0.70,40,20.1,38.4,20.7,464.2,183.4,345.1,698.8,137.5,0.1613490612,0.5080545923,0.6694036534,3.1487917477,0.0047116384,0.0140081717,0.0057135998,0.0792825708,0.0733777103,0.0548480418,0.3464900911,0.0838029485,0.1251904558,0.8755981933,0.9437771761,
171108 S3B2R1,L,Spruce,November,180119,0.0247,0.77,40,35.5,56.5,18.3,541.2,151,524.5,903.3,166.5,0.2544594762,0.6814612227,0.9359206989,2.6780736674,0.008634872,0.0213870228,0.0052413386,0.0959140057,0.0626893006,0.0689166756,0.2807750865,0.0765655111,0.0818076908,0.818766827,0.8872224343,
171108 S3B2R1,L,Spruce,November,180531,0.0255,0.71,40,50.1,70.2,37,684.9,187.8,500.1,998.1,195.2,0.2166977426,0.6725236941,0.8892214368,3.1035103823,0.0108840285,0.0237335876,0.0094649265,0.1084116124,0.0696364241,0.0721629522,0.3309564065,0.0899853791,0.1011956925,0.7738637632,0.8790467003,
