"State","County","year","income"
"Colorado","Park",2016,41331
"Colorado","Phillips",2016,44075
"Colorado","Pitkin",2016,136366
"Colorado","Prowers",2016,40961
"Colorado","Pueblo",2016,36228
"Colorado","Rio Blanco",2016,42729
"Colorado","Rio Grande",2016,43524
"Colorado","Routt",2016,69428
"Colorado","Saguache",2016,30364
"Colorado","San Juan",2016,46639
"Colorado","San Miguel",2016,75263
"Colorado","Sedgwick",2016,48141
"Colorado","Summit",2016,61033
"Colorado","Teller",2016,46057
"Colorado","Washington",2016,40130
"Colorado","Weld",2016,43632
"Colorado","Yuma",2016,52258
"Connecticut",NA,2016,69741
"Connecticut","Fairfield",2016,107221
"Connecticut","Hartford",2016,60291
"Connecticut","Litchfield",2016,59880
"Connecticut","Middlesex",2016,63956
"Connecticut","New Haven",2016,52621
"Connecticut","New London",2016,54805
"Connecticut","Tolland",2016,53227
"Connecticut","Windham",2016,43740
"Delaware",NA,2016,48505
"Delaware","Kent",2016,39074
"Delaware","New Castle",2016,51859
"Delaware","Sussex",2016,47517
"District of Columbia",NA,2016,77475
"Florida",NA,2016,45684
"Florida","Alachua",2016,40608
"Florida","Baker",2016,29613
"Florida","Bay",2016,41019
"Florida","Bradford",2016,31464
"Florida","Brevard",2016,41793
"Florida","Broward",2016,46394
"Florida","Calhoun",2016,25059
"Florida","Charlotte",2016,39292
"Florida","Citrus",2016,35856
"Florida","Clay",2016,40743
"Florida","Collier",2016,83659
"Florida","Columbia",2016,32408
"Florida","DeSoto",2016,23274
"Florida","Dixie",2016,25421
"Florida","Duval",2016,42326
"Florida","Escambia",2016,39521
"Florida","Flagler",2016,42114
"Florida","Franklin",2016,32661
"Florida","Gadsden",2016,32160
"Florida","Gilchrist",2016,31259
"Florida","Glades",2016,22152
"Florida","Gulf",2016,32157
"Florida","Hamilton",2016,23831
"Florida","Hardee",2016,26913
"Florida","Hendry",2016,29746
"Florida","Hernando",2016,34899
"Florida","Highlands",2016,32174
"Florida","Hillsborough",2016,43617
"Florida","Holmes",2016,28049
"Florida","Indian River",2016,69832
"Florida","Jackson",2016,29607
"Florida","Jefferson",2016,38742
"Florida","Lafayette",2016,22596
"Florida","Lake",2016,39385
"Florida","Lee",2016,47574
"Florida","Leon",2016,41273
"Florida","Levy",2016,32833
"Florida","Liberty",2016,22151
"Florida","Madison",2016,29330
"Florida","Manatee",2016,44361
"Florida","Marion",2016,34506
"Florida","Martin",2016,74666
"Florida","Miami-Dade",2016,43920
"Florida","Monroe",2016,78241
"Florida","Nassau",2016,53450
"Florida","Okaloosa",2016,45470
"Florida","Okeechobee",2016,29138
"Florida","Orange",2016,40750
"Florida","Osceola",2016,31280
"Florida","Palm Beach",2016,70241
"Florida","Pasco",2016,38019
"Florida","Pinellas",2016,48707
"Florida","Polk",2016,33333
"Florida","Putnam",2016,29831
"Florida","St. Johns",2016,61829
"Florida","St. Lucie",2016,37426
"Florida","Santa Rosa",2016,41771
"Florida","Sarasota",2016,58513
"Florida","Seminole",2016,44301
"Florida","Sumter",2016,42126
"Florida","Suwannee",2016,30649
"Florida","Taylor",2016,27618
"Florida","Union",2016,19815
"Florida","Volusia",2016,39151
"Florida","Wakulla",2016,33511
"Florida","Walton",2016,55051
"Florida","Washington",2016,27636
"Georgia",NA,2016,42693
"Georgia","Appling",2016,30860
"Georgia","Atkinson",2016,26599
"Georgia","Bacon",2016,31025
"Georgia","Baker",2016,36061
"Georgia","Baldwin",2016,30637
"Georgia","Banks",2016,32945
"Georgia","Barrow",2016,34232
"Georgia","Bartow",2016,36124
"Georgia","Ben Hill",2016,29201
"Georgia","Berrien",2016,28453
"Georgia","Bibb",2016,38687
"Georgia","Bleckley",2016,31002
"Georgia","Brantley",2016,26424
"Georgia","Brooks",2016,32586
"Georgia","Bryan",2016,49828
"Georgia","Bulloch",2016,30191
"Georgia","Burke",2016,33580
"Georgia","Butts",2016,31207
"Georgia","Calhoun",2016,22951
"Georgia","Camden",2016,33737
"Georgia","Candler",2016,27914
"Georgia","Carroll",2016,35682
"Georgia","Catoosa",2016,33115
"Georgia","Charlton",2016,23420
"Georgia","Chatham",2016,43299
"Georgia","Chattahoochee",2016,30210
"Georgia","Chattooga",2016,28538
"Georgia","Cherokee",2016,47813
"Georgia","Clarke",2016,31736
"Georgia","Clay",2016,29216
"Georgia","Clayton",2016,26702
"Georgia","Clinch",2016,35716
"Georgia","Cobb",2016,51457
"Georgia","Coffee",2016,29215
"Georgia","Colquitt",2016,30034
"Georgia","Columbia",2016,46821
"Georgia","Cook",2016,29733
"Georgia","Coweta",2016,43253
"Georgia","Crawford",2016,31990
"Georgia","Crisp",2016,29495
"Georgia","Dade",2016,32265
"Georgia","Dawson",2016,42386
"Georgia","Decatur",2016,33932
"Georgia","DeKalb",2016,45522
"Georgia","Dodge",2016,28389
"Georgia","Dooly",2016,26161
"Georgia","Dougherty",2016,33743
"Georgia","Douglas",2016,33168
"Georgia","Early",2016,37001
"Georgia","Echols",2016,25611
"Georgia","Effingham",2016,38513
"Georgia","Elbert",2016,33031
"Georgia","Emanuel",2016,30104
"Georgia","Evans",2016,33186
"Georgia","Fannin",2016,32567
"Georgia","Fayette",2016,58295
"Georgia","Floyd",2016,36054
"Georgia","Forsyth",2016,59451
"Georgia","Franklin",2016,34213
"Georgia","Fulton",2016,75987
"Georgia","Gilmer",2016,32724
"Georgia","Glascock",2016,33238
"Georgia","Glynn",2016,41914
"Georgia","Gordon",2016,32428
"Georgia","Grady",2016,31138
"Georgia","Greene",2016,50359
"Georgia","Gwinnett",2016,38629
"Georgia","Habersham",2016,31893
"Georgia","Hall",2016,39946
"Georgia","Hancock",2016,27046
"Georgia","Haralson",2016,33941
"Georgia","Harris",2016,44439
"Georgia","Hart",2016,34264
"Georgia","Heard",2016,29431
"Georgia","Henry",2016,36748
"Georgia","Houston",2016,39991
"Georgia","Irwin",2016,28698
"Georgia","Jackson",2016,39379
"Georgia","Jasper",2016,35403
"Georgia","Jeff Davis",2016,28567
"Georgia","Jefferson",2016,31409
"Georgia","Jenkins",2016,28179
"Georgia","Johnson",2016,24388
"Georgia","Jones",2016,34947
"Georgia","Lamar",2016,31106
"Georgia","Lanier",2016,25133
"Georgia","Laurens",2016,34652
"Georgia","Lee",2016,43544
"Georgia","Liberty",2016,33183
"Georgia","Lincoln",2016,34481
"Georgia","Long",2016,26099
"Georgia","Lowndes",2016,34869
"Georgia","Lumpkin",2016,34628
"Georgia","McDuffie",2016,34013
"Georgia","McIntosh",2016,28014
"Georgia","Macon",2016,28341
"Georgia","Madison",2016,33761
"Georgia","Marion",2016,26862
"Georgia","Meriwether",2016,32739
"Georgia","Miller",2016,36026
"Georgia","Mitchell",2016,32307
"Georgia","Monroe",2016,41767
"Georgia","Montgomery",2016,28834
"Georgia","Morgan",2016,45564
"Georgia","Murray",2016,28105
"Georgia","Muscogee",2016,40718
"Georgia","Newton",2016,31601
"Georgia","Oconee",2016,60296
"Georgia","Oglethorpe",2016,35391
"Georgia","Paulding",2016,35196
"Georgia","Peach",2016,35668
"Georgia","Pickens",2016,44457
"Georgia","Pierce",2016,33494
"Georgia","Pike",2016,37636
"Georgia","Polk",2016,30779
"Georgia","Pulaski",2016,28017
"Georgia","Putnam",2016,38731
"Georgia","Quitman",2016,27893
"Georgia","Rabun",2016,38505
"Georgia","Randolph",2016,28739
"Georgia","Richmond",2016,35032
"Georgia","Rockdale",2016,33440
"Georgia","Schley",2016,28610
"Georgia","Screven",2016,31699
"Georgia","Seminole",2016,38009
"Georgia","Spalding",2016,32904
"Georgia","Stephens",2016,36908
"Georgia","Stewart",2016,21153
"Georgia","Sumter",2016,32738
"Georgia","Talbot",2016,32396
"Georgia","Taliaferro",2016,32218
"Georgia","Tattnall",2016,26339
"Georgia","Taylor",2016,31322
"Georgia","Telfair",2016,19869
"Georgia","Terrell",2016,37009
"Georgia","Thomas",2016,40280
"Georgia","Tift",2016,35361
"Georgia","Toombs",2016,33720
"Georgia","Towns",2016,34874
"Georgia","Treutlen",2016,28097
"Georgia","Troup",2016,34884
"Georgia","Turner",2016,31706
"Georgia","Twiggs",2016,35817
"Georgia","Union",2016,34304
"Georgia","Upson",2016,33478
"Georgia","Walker",2016,30929
"Georgia","Walton",2016,37355
"Georgia","Ware",2016,31917
"Georgia","Warren",2016,32297
"Georgia","Washington",2016,32836
"Georgia","Wayne",2016,28970
"Georgia","Webster",2016,30591
"Georgia","Wheeler",2016,18257
"Georgia","White",2016,32388
"Georgia","Whitfield",2016,36201
"Georgia","Wilcox",2016,24278
"Georgia","Wilkes",2016,37483
"Georgia","Wilkinson",2016,33883
"Georgia","Worth",2016,31071
"Hawaii",NA,2016,51032
"Hawaii","Hawaii",2016,39005
"Hawaii","Honolulu",2016,54860
"Hawaii","Kauai",2016,44738
"Hawaii","Maui + Kalawao",2016,45194
"Idaho",NA,2016,40670
"Idaho","Ada",2016,48641
"Idaho","Adams",2016,37412
"Idaho","Bannock",2016,35620
"Idaho","Bear Lake",2016,37331
"Idaho","Benewah",2016,35421
"Idaho","Bingham",2016,33495
"Idaho","Blaine",2016,98311
"Idaho","Boise",2016,42178
"Idaho","Bonner",2016,38542
"Idaho","Bonneville",2016,44272
"Idaho","Boundary",2016,33709
"Idaho","Butte",2016,38615
"Idaho","Camas",2016,36507
"Idaho","Canyon",2016,30254
"Idaho","Caribou",2016,37372
"Idaho","Cassia",2016,43861
"Idaho","Clark",2016,37375
"Idaho","Clearwater",2016,33130
"Idaho","Custer",2016,42805
"Idaho","Elmore",2016,36063
"Idaho","Franklin",2016,33619
"Idaho","Fremont (includes Yellowstone National Park)",2016,34533
"Idaho","Gem",2016,35229
"Idaho","Gooding",2016,53588
"Idaho","Idaho",2016,32229
"Idaho","Jefferson",2016,32678
"Idaho","Jerome",2016,36656
"Idaho","Kootenai",2016,41370
"Idaho","Latah",2016,38558
"Idaho","Lemhi",2016,39193
"Idaho","Lewis",2016,44733
"Idaho","Lincoln",2016,33155
"Idaho","Madison",2016,24057
"Idaho","Minidoka",2016,36981
"Idaho","Nez Perce",2016,40978
"Idaho","Oneida",2016,33714
"Idaho","Owyhee",2016,34569
"Idaho","Payette",2016,37642
"Idaho","Power",2016,34184
"Idaho","Shoshone",2016,35949
"Idaho","Teton",2016,35994
"Idaho","Twin Falls",2016,37089
"Idaho","Valley",2016,45936
"Idaho","Washington",2016,34150
"Illinois",NA,2016,52273
"Illinois","Adams",2016,42923
"Illinois","Alexander",2016,32205
"Illinois","Bond",2016,34461
"Illinois","Boone",2016,43881
"Illinois","Brown",2016,31696
"Illinois","Bureau",2016,40607
"Illinois","Calhoun",2016,37840
"Illinois","Carroll",2016,43011
"Illinois","Cass",2016,38924
"Illinois","Champaign",2016,42875
"Illinois","Christian",2016,38314
"Illinois","Clark",2016,38064
"Illinois","Clay",2016,35907
"Illinois","Clinton",2016,43993
"Illinois","Coles",2016,37642
"Illinois","Cook",2016,56961
"Illinois","Crawford",2016,44130
"Illinois","Cumberland",2016,40328
"Illinois","DeKalb",2016,38140
"Illinois","De Witt",2016,45444
"Illinois","Douglas",2016,45882
"Illinois","DuPage",2016,66522
"Illinois","Edgar",2016,38261
"Illinois","Edwards",2016,36208
"Illinois","Effingham",2016,44849
"Illinois","Fayette",2016,32745
"Illinois","Ford",2016,51782
"Illinois","Franklin",2016,34943
"Illinois","Fulton",2016,35048
"Illinois","Gallatin",2016,42066
"Illinois","Greene",2016,34138
"Illinois","Grundy",2016,47503
"Illinois","Hamilton",2016,40449
"Illinois","Hancock",2016,42681
"Illinois","Hardin",2016,35739
"Illinois","Henderson",2016,40440
"Illinois","Henry",2016,43076
"Illinois","Iroquois",2016,41650
"Illinois","Jackson",2016,34304
"Illinois","Jasper",2016,40414
"Illinois","Jefferson",2016,36488
"Illinois","Jersey",2016,38665
"Illinois","Jo Daviess",2016,45749
"Illinois","Johnson",2016,33440
"Illinois","Kane",2016,47188
"Illinois","Kankakee",2016,38347
"Illinois","Kendall",2016,45910
"Illinois","Knox",2016,37642
"Illinois","Lake",2016,72732
"Illinois","LaSalle",2016,41221
"Illinois","Lawrence",2016,28337
"Illinois","Lee",2016,38851
"Illinois","Livingston",2016,43580
"Illinois","Logan",2016,35912
"Illinois","McDonough",2016,36599
"Illinois","McHenry",2016,51524
"Illinois","McLean",2016,46727
"Illinois","Macon",2016,45077
"Illinois","Macoupin",2016,37884
"Illinois","Madison",2016,43183
"Illinois","Marion",2016,38733
"Illinois","Marshall",2016,44145
"Illinois","Mason",2016,39443
"Illinois","Massac",2016,36754
"Illinois","Menard",2016,41932
"Illinois","Mercer",2016,42306
"Illinois","Monroe",2016,54629
"Illinois","Montgomery",2016,33943
"Illinois","Morgan",2016,37782
"Illinois","Moultrie",2016,51336
"Illinois","Ogle",2016,43246
"Illinois","Peoria",2016,47351
"Illinois","Perry",2016,34981
"Illinois","Piatt",2016,49466
"Illinois","Pike",2016,40335
"Illinois","Pope",2016,28224
"Illinois","Pulaski",2016,34294
"Illinois","Putnam",2016,55347
"Illinois","Randolph",2016,34208
"Illinois","Richland",2016,39105
"Illinois","Rock Island",2016,41710
"Illinois","St. Clair",2016,41712
"Illinois","Saline",2016,36744
"Illinois","Sangamon",2016,44852
"Illinois","Schuyler",2016,41369
"Illinois","Scott",2016,37644
"Illinois","Shelby",2016,35913
"Illinois","Stark",2016,40162
"Illinois","Stephenson",2016,40930
"Illinois","Tazewell",2016,44684
"Illinois","Union",2016,40169
"Illinois","Vermilion",2016,36383
"Illinois","Wabash",2016,40601
"Illinois","Warren",2016,37652
"Illinois","Washington",2016,44105
"Illinois","Wayne",2016,38453
"Illinois","White",2016,42873
"Illinois","Whiteside",2016,40247
"Illinois","Will",2016,48781
"Illinois","Williamson",2016,41324
"Illinois","Winnebago",2016,39985
"Illinois","Woodford",2016,49804
"Indiana",NA,2016,43741
"Indiana","Adams",2016,35693
"Indiana","Allen",2016,43216
"Indiana","Bartholomew",2016,46205
"Indiana","Benton",2016,39564
"Indiana","Blackford",2016,35685
"Indiana","Boone",2016,69830
"Indiana","Brown",2016,43843
"Indiana","Carroll",2016,40732
"Indiana","Cass",2016,36277
"Indiana","Clark",2016,41239
"Indiana","Clay",2016,35736
"Indiana","Clinton",2016,35695
"Indiana","Crawford",2016,31504
"Indiana","Daviess",2016,38100
"Indiana","Dearborn",2016,43963
"Indiana","Decatur",2016,39775
"Indiana","DeKalb",2016,40833
"Indiana","Delaware",2016,34621
"Indiana","Dubois",2016,51795
"Indiana","Elkhart",2016,41959
"Indiana","Fayette",2016,37613
"Indiana","Floyd",2016,52765
"Indiana","Fountain",2016,37532
"Indiana","Franklin",2016,43203
"Indiana","Fulton",2016,38255
"Indiana","Gibson",2016,41973
"Indiana","Grant",2016,37500
"Indiana","Greene",2016,36262
"Indiana","Hamilton",2016,69299
"Indiana","Hancock",2016,47059
"Indiana","Harrison",2016,39490
"Indiana","Hendricks",2016,46316
"Indiana","Henry",2016,35427
"Indiana","Howard",2016,39019
"Indiana","Huntington",2016,38580
"Indiana","Jackson",2016,39989
"Indiana","Jasper",2016,41679
"Indiana","Jay",2016,36001
"Indiana","Jefferson",2016,39087
"Indiana","Jennings",2016,36071
"Indiana","Johnson",2016,45220
"Indiana","Knox",2016,41916
"Indiana","Kosciusko",2016,43697
"Indiana","Lagrange",2016,37117
"Indiana","Lake",2016,41596
"Indiana","LaPorte",2016,39048
"Indiana","Lawrence",2016,37408
"Indiana","Madison",2016,35930
"Indiana","Marion",2016,49530
"Indiana","Marshall",2016,38360
"Indiana","Martin",2016,35813
"Indiana","Miami",2016,32374
"Indiana","Monroe",2016,38193
"Indiana","Montgomery",2016,38805
"Indiana","Morgan",2016,41107
"Indiana","Newton",2016,37072
"Indiana","Noble",2016,36474
"Indiana","Ohio",2016,37923
"Indiana","Orange",2016,34191
"Indiana","Owen",2016,36924
"Indiana","Parke",2016,34365
"Indiana","Perry",2016,35795
"Indiana","Pike",2016,37590
"Indiana","Porter",2016,48015
"Indiana","Posey",2016,44633
"Indiana","Pulaski",2016,40768
"Indiana","Putnam",2016,35151
"Indiana","Randolph",2016,36715
"Indiana","Ripley",2016,38648
"Indiana","Rush",2016,42714
"Indiana","St. Joseph",2016,43893
"Indiana","Scott",2016,35490
"Indiana","Shelby",2016,40828
"Indiana","Spencer",2016,40431
"Indiana","Starke",2016,32797
"Indiana","Steuben",2016,38876
"Indiana","Sullivan",2016,32841
"Indiana","Switzerland",2016,28048
"Indiana","Tippecanoe",2016,35479
"Indiana","Tipton",2016,43050
"Indiana","Union",2016,35727
"Indiana","Vanderburgh",2016,42628
"Indiana","Vermillion",2016,35929
"Indiana","Vigo",2016,35940
"Indiana","Wabash",2016,40804
"Indiana","Warren",2016,41940
"Indiana","Warrick",2016,51918
"Indiana","Washington",2016,35161
"Indiana","Wayne",2016,38510
"Indiana","Wells",2016,39351
"Indiana","White",2016,40601
"Indiana","Whitley",2016,41487
"Iowa",NA,2016,46431
"Iowa","Adair",2016,47708
"Iowa","Adams",2016,64580
"Iowa","Allamakee",2016,43212
"Iowa","Appanoose",2016,35518
"Iowa","Audubon",2016,42987
"Iowa","Benton",2016,48606
"Iowa","Black Hawk",2016,40995
"Iowa","Boone",2016,45061
"Iowa","Bremer",2016,46051
"Iowa","Buchanan",2016,42683
"Iowa","Buena Vista",2016,43083
"Iowa","Butler",2016,45846
"Iowa","Calhoun",2016,46497
"Iowa","Carroll",2016,49363
"Iowa","Cass",2016,43298
"Iowa","Cedar",2016,49431
