"State","County","year","income"
"United States",NA,2016,49870
"Alabama",NA,2016,39224
"Alabama","Autauga",2016,39561
"Alabama","Baldwin",2016,42907
"Alabama","Barbour",2016,31595
"Alabama","Bibb",2016,28799
"Alabama","Blount",2016,32389
"Alabama","Bullock",2016,26655
"Alabama","Butler",2016,33501
"Alabama","Calhoun",2016,34774
"Alabama","Chambers",2016,32470
"Alabama","Cherokee",2016,32826
"Alabama","Chilton",2016,32204
"Alabama","Choctaw",2016,35676
"Alabama","Clarke",2016,34436
"Alabama","Clay",2016,31149
"Alabama","Cleburne",2016,33708
"Alabama","Coffee",2016,40386
"Alabama","Colbert",2016,36289
"Alabama","Conecuh",2016,30308
"Alabama","Coosa",2016,29174
"Alabama","Covington",2016,33014
"Alabama","Crenshaw",2016,34405
"Alabama","Cullman",2016,36649
"Alabama","Dale",2016,34492
"Alabama","Dallas",2016,33454
"Alabama","DeKalb",2016,29446
"Alabama","Elmore",2016,39587
"Alabama","Escambia",2016,30404
"Alabama","Etowah",2016,34792
"Alabama","Fayette",2016,32533
"Alabama","Franklin",2016,30940
"Alabama","Geneva",2016,32619
"Alabama","Greene",2016,30737
"Alabama","Hale",2016,34900
"Alabama","Henry",2016,37657
"Alabama","Houston",2016,39459
"Alabama","Jackson",2016,34198
"Alabama","Jefferson",2016,49573
"Alabama","Lamar",2016,31863
"Alabama","Lauderdale",2016,35202
"Alabama","Lawrence",2016,31129
"Alabama","Lee",2016,35690
"Alabama","Limestone",2016,39102
"Alabama","Lowndes",2016,37050
"Alabama","Macon",2016,30568
"Alabama","Madison",2016,48026
"Alabama","Marengo",2016,36650
"Alabama","Marion",2016,30458
"Alabama","Marshall",2016,33700
"Alabama","Mobile",2016,36025
"Alabama","Monroe",2016,31259
"Alabama","Montgomery",2016,41388
"Alabama","Morgan",2016,37173
"Alabama","Perry",2016,29030
"Alabama","Pickens",2016,30412
"Alabama","Pike",2016,34842
"Alabama","Randolph",2016,30268
"Alabama","Russell",2016,30700
"Alabama","St. Clair",2016,35766
"Alabama","Shelby",2016,50650
"Alabama","Sumter",2016,30848
"Alabama","Talladega",2016,32487
"Alabama","Tallapoosa",2016,38205
"Alabama","Tuscaloosa",2016,36143
"Alabama","Walker",2016,37030
"Alabama","Washington",2016,34371
"Alabama","Wilcox",2016,30247
"Alabama","Winston",2016,31995
"Alaska",NA,2016,56016
"Alaska","Aleutians East Borough",2016,57255
"Alaska","Aleutians West Census Area",2016,55302
"Alaska","Anchorage Municipality",2016,62172
"Alaska","Bethel Census Area",2016,41168
"Alaska","Bristol Bay Borough",2016,119915
"Alaska","Denali Borough",2016,76113
"Alaska","Dillingham Census Area",2016,55471
"Alaska","Fairbanks North Star Borough",2016,52803
"Alaska","Haines Borough",2016,57423
"Alaska","Hoonah-Angoon Census Area",2016,54863
"Alaska","Juneau City and Borough",2016,63779
"Alaska","Kenai Peninsula Borough",2016,49544
"Alaska","Ketchikan Gateway Borough",2016,64229
"Alaska","Kodiak Island Borough",2016,57840
"Alaska","Kusilvak Census Area",2016,29979
"Alaska","Lake and Peninsula Borough",2016,54510
"Alaska","Matanuska-Susitna Borough",2016,44520
"Alaska","Nome Census Area",2016,48001
"Alaska","North Slope Borough",2016,89281
"Alaska","Northwest Arctic Borough",2016,43886
"Alaska","Petersburg Borough",2016,64029
"Alaska","Prince of Wales-Hyder Census Area",2016,39834
"Alaska","Sitka City and Borough",2016,63572
"Alaska","Skagway Municipality",2016,74760
"Alaska","Southeast Fairbanks Census Area",2016,46700
"Alaska","Valdez-Cordova Census Area",2016,57309
"Alaska","Wrangell City and Borough",2016,44956
"Alaska","Yakutat City and Borough",2016,54406
"Alaska","Yukon-Koyukuk Census Area",2016,53871
"Arizona",NA,2016,40671
"Arizona","Apache",2016,31417
"Arizona","Cochise",2016,37621
"Arizona","Coconino",2016,44279
"Arizona","Gila",2016,36286
"Arizona","Graham",2016,29460
"Arizona","Greenlee",2016,33892
"Arizona","La Paz",2016,29596
"Arizona","Maricopa",2016,43825
"Arizona","Mohave",2016,30286
"Arizona","Navajo",2016,29677
"Arizona","Pima",2016,39904
"Arizona","Pinal",2016,28535
"Arizona","Santa Cruz",2016,34828
"Arizona","Yavapai",2016,36511
"Arizona","Yuma",2016,33141
"Arkansas",NA,2016,40148
"Arkansas","Arkansas",2016,43755
"Arkansas","Ashley",2016,32742
"Arkansas","Baxter",2016,34516
"Arkansas","Benton",2016,82031
"Arkansas","Boone",2016,33439
"Arkansas","Bradley",2016,36251
"Arkansas","Calhoun",2016,32632
"Arkansas","Carroll",2016,31170
"Arkansas","Chicot",2016,34429
"Arkansas","Clark",2016,33226
"Arkansas","Clay",2016,30994
"Arkansas","Cleburne",2016,35135
"Arkansas","Cleveland",2016,36239
"Arkansas","Columbia",2016,34418
"Arkansas","Conway",2016,35872
"Arkansas","Craighead",2016,35490
"Arkansas","Crawford",2016,31344
"Arkansas","Crittenden",2016,34692
"Arkansas","Cross",2016,32928
"Arkansas","Dallas",2016,31946
"Arkansas","Desha",2016,35934
"Arkansas","Drew",2016,34408
"Arkansas","Faulkner",2016,35446
"Arkansas","Franklin",2016,31816
"Arkansas","Fulton",2016,27000
"Arkansas","Garland",2016,37226
"Arkansas","Grant",2016,36261
"Arkansas","Greene",2016,32299
"Arkansas","Hempstead",2016,29295
"Arkansas","Hot Spring",2016,28798
"Arkansas","Howard",2016,32696
"Arkansas","Independence",2016,32782
"Arkansas","Izard",2016,28725
"Arkansas","Jackson",2016,33639
"Arkansas","Jefferson",2016,33278
"Arkansas","Johnson",2016,28041
"Arkansas","Lafayette",2016,34601
"Arkansas","Lawrence",2016,31810
"Arkansas","Lee",2016,26052
"Arkansas","Lincoln",2016,25400
"Arkansas","Little River",2016,33104
"Arkansas","Logan",2016,31925
"Arkansas","Lonoke",2016,36977
"Arkansas","Madison",2016,33506
"Arkansas","Marion",2016,28851
"Arkansas","Miller",2016,32193
"Arkansas","Mississippi",2016,28609
"Arkansas","Monroe",2016,31451
"Arkansas","Montgomery",2016,27818
"Arkansas","Nevada",2016,31802
"Arkansas","Newton",2016,27186
"Arkansas","Ouachita",2016,33945
"Arkansas","Perry",2016,32600
"Arkansas","Phillips",2016,28886
"Arkansas","Pike",2016,30388
"Arkansas","Poinsett",2016,29462
"Arkansas","Polk",2016,28063
"Arkansas","Pope",2016,33012
"Arkansas","Prairie",2016,32574
"Arkansas","Pulaski",2016,47966
"Arkansas","Randolph",2016,30281
"Arkansas","St. Francis",2016,25970
"Arkansas","Saline",2016,39583
"Arkansas","Scott",2016,28340
"Arkansas","Searcy",2016,26630
"Arkansas","Sebastian",2016,39627
"Arkansas","Sevier",2016,29445
"Arkansas","Sharp",2016,30582
"Arkansas","Stone",2016,28461
"Arkansas","Union",2016,39569
"Arkansas","Van Buren",2016,29480
"Arkansas","Washington",2016,37737
"Arkansas","White",2016,33214
"Arkansas","Woodruff",2016,33231
"Arkansas","Yell",2016,30496
"California",NA,2016,57739
"California","Alameda",2016,67567
"California","Alpine",2016,74606
"California","Amador",2016,42701
"California","Butte",2016,42015
"California","Calaveras",2016,45703
"California","Colusa",2016,45163
"California","Contra Costa",2016,72483
"California","Del Norte",2016,35868
"California","El Dorado",2016,62864
"California","Fresno",2016,40327
"California","Glenn",2016,44313
"California","Humboldt",2016,45205
"California","Imperial",2016,35406
"California","Inyo",2016,57580
"California","Kern",2016,37920
"California","Kings",2016,33457
"California","Lake",2016,40258
"California","Lassen",2016,36253
"California","Los Angeles",2016,57127
"California","Madera",2016,37209
"California","Marin",2016,118416
"California","Mariposa",2016,48877
"California","Mendocino",2016,46602
"California","Merced",2016,36786
"California","Modoc",2016,43301
"California","Mono",2016,46528
"California","Monterey",2016,52686
"California","Napa",2016,67580
"California","Nevada",2016,58146
"California","Orange",2016,63086
"California","Placer",2016,61838
"California","Plumas",2016,49058
"California","Riverside",2016,37936
"California","Sacramento",2016,48965
"California","San Benito",2016,48634
"California","San Bernardino",2016,37592
"California","San Diego",2016,56322
"California","San Francisco",2016,114697
"California","San Joaquin",2016,41094
"California","San Luis Obispo",2016,53041
"California","San Mateo",2016,107207
"California","Santa Barbara",2016,57432
"California","Santa Clara",2016,92505
"California","Santa Cruz",2016,61166
"California","Shasta",2016,43412
"California","Sierra",2016,42870
"California","Siskiyou",2016,42913
"California","Solano",2016,46999
"California","Sonoma",2016,57566
"California","Stanislaus",2016,41417
"California","Sutter",2016,41972
"California","Tehama",2016,38608
"California","Trinity",2016,37286
"California","Tulare",2016,38198
"California","Tuolumne",2016,45467
"California","Ventura",2016,57136
"California","Yolo",2016,51225
"California","Yuba",2016,39140
"Colorado",NA,2016,52262
"Colorado","Adams",2016,39468
"Colorado","Alamosa",2016,34692
"Colorado","Arapahoe",2016,55001
"Colorado","Archuleta",2016,40004
"Colorado","Baca",2016,37660
"Colorado","Bent",2016,28347
"Colorado","Boulder",2016,64875
"Colorado","Broomfield",2016,60403
"Colorado","Chaffee",2016,42419
"Colorado","Cheyenne",2016,49789
"Colorado","Clear Creek",2016,56271
"Colorado","Conejos",2016,33689
"Colorado","Costilla",2016,32046
"Colorado","Crowley",2016,22499
"Colorado","Custer",2016,40092
"Colorado","Delta",2016,33511
"Colorado","Denver",2016,63912
"Colorado","Dolores",2016,31756
"Colorado","Douglas",2016,68525
"Colorado","Eagle",2016,67973
"Colorado","Elbert",2016,52877
"Colorado","El Paso",2016,44858
"Colorado","Fremont",2016,32668
"Colorado","Garfield",2016,53374
"Colorado","Gilpin",2016,44830
"Colorado","Grand",2016,44109
"Colorado","Gunnison",2016,43240
"Colorado","Hinsdale",2016,47152
"Colorado","Huerfano",2016,40006
"Colorado","Jackson",2016,43972
"Colorado","Jefferson",2016,57885
"Colorado","Kiowa",2016,50980
"Colorado","Kit Carson",2016,35270
"Colorado","Lake",2016,33337
"Colorado","La Plata",2016,52412
"Colorado","Larimer",2016,48225
"Colorado","Las Animas",2016,37662
"Colorado","Lincoln",2016,25263
"Colorado","Logan",2016,49807
"Colorado","Mesa",2016,39828
"Colorado","Mineral",2016,63811
"Colorado","Moffat",2016,39176
"Colorado","Montezuma",2016,39596
"Colorado","Montrose",2016,36238
"Colorado","Morgan",2016,41814
"Colorado","Otero",2016,35770
"Colorado","Ouray",2016,55449
